unique_id,gender,hold racket handed
1968,0.4207,0.929
1969,0.7617,0.947
1970,0.9164,0.947
1971,0.9477,0.947
1972,0.7527,0.947
1973,0.5666,0.947
1974,0.9199,0.947
1975,0.9799,0.947
1976,0.8777,0.947
1977,0.9007,0.947
1978,0.9449,0.947
1979,0.9342,0.939
1980,0.1604,0.432
1981,0.2059,0.329
1982,0.9308,0.947
1983,0.7755,0.373
1984,0.3865,0.946
1985,0.9432,0.361
1986,0.678,0.947
1987,0.8713,0.897
1988,0.0611,0.945
1989,0.6771,0.947
1990,0.0872,0.334
1991,0.4481,0.947
1992,0.6256,0.947
1993,0.3328,0.337
1994,0.8185,0.947
1995,0.1278,0.947
1996,0.0776,0.897
1997,0.4254,0.947
1998,0.8817,0.947
1999,0.9508,0.947
2000,0.3536,0.946
2001,0.1353,0.947
2002,0.7704,0.929
2003,0.7532,0.947
2004,0.6074,0.947
2005,0.0457,0.478
2006,0.9737,0.337
2007,0.992,0.345
2008,0.6766,0.421
2009,0.3305,0.406
2010,0.1056,0.947
2011,0.9344,0.346
2012,0.2596,0.947
2013,0.3271,0.947
2014,0.945,0.947
2015,0.6609,0.384
2016,0.2002,0.946
2017,0.2512,0.947
2018,0.8489,0.947
2019,0.941,0.947
2020,0.04,0.471
2021,0.0814,0.654
2022,0.0126,0.462
2023,0.8939,0.929
2024,0.4796,0.947
2025,0.6857,0.947
2026,0.3687,0.947
2027,0.0685,0.947
2028,0.9868,0.344
2029,0.8068,0.947
2030,0.165,0.947
2031,0.3413,0.947
2032,0.9249,0.947
2033,0.877,0.947
2034,0.0089,0.945
2035,0.8927,0.424
2036,0.2096,0.947
2037,0.8896,0.947
2038,0.8296,0.947
2039,0.7337,0.947
2040,0.4429,0.947
2041,0.5602,0.947
2042,0.8539,0.947
2043,0.8795,0.947
2044,0.0396,0.947
2045,0.4064,0.947
2046,0.7947,0.947
2047,0.7724,0.947
2048,0.7192,0.947
2049,0.5798,0.947
2050,0.8243,0.947
2051,0.8896,0.943
2052,0.9028,0.947
2053,0.8392,0.947
2054,0.6053,0.946
2055,0.4968,0.947
2056,0.8232,0.946
2057,0.0921,0.947
2058,0.6476,0.947
2059,0.3471,0.947
2060,0.7641,0.947
2061,0.2723,0.947
2062,0.8223,0.947
2063,0.8001,0.947
2064,0.8857,0.372
2065,0.3876,0.946
2066,0.044,0.945
2067,0.9578,0.352
2068,0.0424,0.353
2069,0.6592,0.947
2070,0.8117,0.947
2071,0.862,0.329
2072,0.5291,0.337
2073,0.9848,0.337
2074,0.2273,0.947
2075,0.9512,0.947
2076,0.4921,0.947
2077,0.5725,0.947
2078,0.5736,0.947
2079,0.028,0.825
2080,0.6729,0.929
2081,0.9657,0.339
2082,0.8023,0.946
2083,0.0929,0.942
2084,0.9147,0.947
2085,0.7728,0.947
2086,0.8556,0.947
2087,0.6459,0.947
2088,0.774,0.947
2089,0.6807,0.947
2090,0.6179,0.947
2091,0.0554,0.947
2092,0.1196,0.947
2093,0.9032,0.947
2094,0.6445,0.947
2095,0.9105,0.334
2096,0.5823,0.947
2097,0.9552,0.503
2098,0.315,0.947
2099,0.5194,0.94
2100,0.4177,0.944
2101,0.196,0.947
2102,0.7775,0.341
2103,0.961,0.947
2104,0.694,0.947
2105,0.7832,0.947
2106,0.208,0.947
2107,0.9269,0.947
2108,0.8141,0.947
2109,0.6977,0.947
2110,0.9137,0.947
2111,0.088,0.947
2112,0.2955,0.947
2113,0.7402,0.947
2114,0.7953,0.947
2115,0.2607,0.94
2116,0.757,0.947
2117,0.7639,0.947
2118,0.9013,0.947
2119,0.1237,0.362
2120,0.9905,0.363
2121,0.258,0.947
2122,0.2374,0.947
2123,0.9249,0.947
2124,0.1261,0.947
2125,0.9721,0.947
2126,0.8869,0.384
2127,0.1284,0.947
2128,0.9674,0.947
2129,0.5477,0.947
2130,0.7944,0.365
2131,0.7283,0.947
2132,0.7095,0.947
2133,0.9247,0.947
2134,0.9313,0.947
2135,0.992,0.365
2136,0.4583,0.947
2137,0.8785,0.329
2138,0.7845,0.947
2139,0.6486,0.947
2140,0.9399,0.947
2141,0.261,0.947
2142,0.4132,0.358
2143,0.314,0.947
2144,0.4804,0.946
2145,0.9274,0.947
2146,0.9245,0.947
2147,0.2452,0.917
2148,0.8544,0.947
2149,0.994,0.337
2150,0.8737,0.344
2151,0.9493,0.946
2152,0.153,0.895
2153,0.0822,0.944
2154,0.2381,0.947
2155,0.0733,0.331
2156,0.1384,0.947
2157,0.8386,0.947
